Title;Salary;Company;Location;Date
Ведущий специалист /Team Lead;от 500 000 KZT;ТОО Мегакам;Караганда;26 ноября
Аналитик данных / Data Analyst;; Kaspi Bank, АО;Алматы, Байконур;12 ноября
Frontend-разработчик (Алматы/Rocket Firm);;ТОО Ракетная фирма;Алматы, Абая;19 ноября
Специалист службы поддержки пользователей;;ТОО ОЭлИкс Групп (OLX Group);Алматы;11 ноября
Системный администратор;от 120 000 KZT;АО БИПЭК АВТО Казахстан;Шымкент;24 ноября
Junior C# developer;240 000-240 000 руб.;ТОО Astana-Plat;Алматы;25 ноября
Frontend-разработчик;;ТОО Smart Remont;Нур-Султан;26 ноября
Руководитель отдела технической поддержки;от 300 000 KZT;ТОО ПРОСИСТЕМЫ;Алматы;17 ноября
QA Инженер / Тестировщик;от 1 000 USD;ИП Code4U;Алматы;2 ноября
Специалист отдела технической поддержки;135 000-135 000 KZT;АО Нефтяная страховая компания;Алматы;2 ноября
Техник-монтажник;120 000-150 000 KZT; СОП КУЗЕТ, АО;Актобе;26 ноября
Менеджер по работе с ключевыми клиентами (направление e-Commerce);;ТОО PepsiCo Kazakhstan;Алматы;3 ноября
Инженер технической поддержки (сервисный инженер);;ТОО Techno Plus Ltd;Алматы;26 ноября
Data Engineer;; Kaspi Bank, АО;Алматы;23 ноября
Менеджер по продажам - консультант в магазин электроники Apple;150 000-300 000 KZT;ИП Теплодом (StroyMax, TM);Алматы;25 ноября
Старший инженер-электрик по оперативному дежурству;; Beeline, ТМ;Алматы;25 ноября
Специалист по ИТ (филиал Астанатранстелеком) ДЛЯ РАБОТЫ в Алматы и Алматинской области;от 350 000 KZT;АО Транстелеком;Нур-Султан;19 ноября
Инженер службы технической поддержки;от 650 USD; FunBox;Алматы;24 ноября
Front-end разработчик/Верстальщик сайтов;до 250 000 KZT;ТОО THE WEB;Караганда;20 ноября
Системный администратор;22 000-25 000 руб.; Контакт-центр City Call;Павлодар;26 ноября
Digital продюсер / менеджер интернет проектов;200 000-250 000 KZT;ТОО Компьютерная Академия Шаг;Алматы;2 ноября
