Title;Salary;Company;Location;Date
Программист-разработчик;500 000-700 000 KZT;ТОО OPEN SYSTEMS DEVELOPMENT;Алматы;19 ноября
Go-lang разработчик;200 000-600 000 KZT;Общ. орг. Центр анализа и расследования кибер атак;Нур-Султан;10 ноября
Оператор систем видеонаблюдения;15 000-25 000 руб.; SteadyControl;Павлодар;27 октября
IT-специалист;от 130 000 KZT;ТОО Казахстанский оператор по управлению отходами;Караганда;26 ноября
Руководитель SMM отдела в Instagram агентстве (Удаленно);300 000-500 000 KZT;ТОО SМMPro;Нур-Султан;26 ноября
Инженер-программист/инженер АСУ ТП;;ТОО МунайГаз, Инжиниринговая Компания;Нур-Султан;24 ноября
Менеджер проекта;300 000-500 000 KZT;ТОО Uk Solution;Алматы;25 ноября
Node.js backend разработчик;300 000-500 000 KZT;Общ. орг. Центр анализа и расследования кибер атак;Нур-Султан;11 ноября
Менеджер по продажам полиграфических услуг;150 000-350 000 KZT;ТОО Полиграфический центр Мастер Принт;Нур-Султан;26 ноября
Front - End Developer;;АО ДОЧЕРНЯЯ ОРГАНИЗАЦИЯ НАРОДНОГО БАНКА КАЗАХСТАНА HALYK FINSERVICE;Алматы;25 ноября
Специалист по IT;130 000-150 000 KZT;ТОО Logitex;Нур-Султан;24 ноября
Оператор видеонаблюдения;;ТОО Crown Star;Алматы, Абая;11 ноября
Контент-менеджер (товары);; Mebels.kz, Интернет-магазин Мебели и Дверей, Каменев Д.В. ИП;Караганда;18 ноября
Оператор интернет магазина;от 100 000 руб.;ИП ProVino Astana (Федина, ИП);Нур-Султан;3 ноября
Data-инженер/ DWH-специалист;400 000-800 000 KZT; Kolesa Group;Алматы, Алатау;24 ноября
Копирайтер/Администратор сайта;250 000-300 000 KZT;ТОО Гарденмарт;Уральск;29 октября
Специалист Help Desk;; HALYK FINANCE, дочерняя организация АО Народный банк;Алматы;26 ноября
Менеджер проектов;;АО Усть-Каменогорский титано-магниевый комбинат;Усть-Каменогорск;24 ноября
Главный менеджер службы информационных технологии (АО «Samruk-Kazyna Construction»).;; Частное учреждение «Корпоративный университет «Самрук-Казына»;Нур-Султан;20 ноября
Интерн UX/UI Департамента аналитических систем;;АО Народный банк Казахстана;Алматы;18 ноября
