Title;Salary;Company;Location;Date
Контент-менеджер/маркетолог;130 000-150 000 KZT;ТОО ARDES;Алматы;24 ноября
Стажер в отдел внедрения и сопровождения 1С;; 1С:Франчайзинг Ваниев;Алматы, Сайран;25 ноября
SQL разработчик;до 135 000 KZT;АО First Heartland Jýsan Bank;Алматы;11 ноября
Специалист отдела технической поддержки;от 30 000 руб.; Sipuni.com;Алматы;13 ноября
IT-специалист;180 000-220 000 KZT;ТОО ProMebel, ТМ (ТОО IDIA Market);Алматы;25 ноября
Оператор call-центра (отдел продаж);от 150 000 KZT;ТОО МЦФЭР-Казахстан;Алматы;23 ноября
Стажер на тренинг Software Testing Introduction;;ТОО Epam Kazakhstan (Эпам Казахстан),ТОО;Караганда;26 ноября
Старший инженер отдела мониторинга транспортной сети;; Beeline, ТМ;Алматы;19 ноября
Консультант 1С (в отдел регионального развития);от 150 000 KZT;ТОО АзияShymСервис;Нур-Султан;11 ноября
HR Директор;от 300 000 KZT;ТОО HR Капитал CA;Алматы;18 ноября
Менеджер по продажам услуг;до 500 000 KZT;ТОО HR Капитал CA;Алматы;18 ноября
Junior Oracle Data base administrator;; Kaspi Bank, АО;Алматы;4 ноября
Ассистент менеджера проектов (помощник менеджера проектов) в городе Нур-Султан;;ТОО Ракетная фирма;Нур-Султан;16 ноября
Интернет-маркетолог;;ТОО HR Капитал CA;Алматы;16 ноября
Full Stack разработчик;300 000-700 000 KZT;ТОО Spaceduck;Алматы;26 ноября
Менеджер по продажам IT услуг;100 000-250 000 KZT;ТОО Реал Сити;Алматы;5 ноября
Оператор call-центра (со знанием казахского языка и русского языка);110 000-130 000 KZT;ТОО 7Лайн;Алматы;16 ноября
Младший разработчик (PHP);;АО TECHNODOM Operator (Технодом Оператор);Алматы;25 ноября
Контент менеджер;150 000-150 000 KZT;ТОО e-shop;Нур-Султан;16 ноября
Художник-преподаватель;70 000-150 000 KZT;ИП Astana ART;Нур-Султан;12 ноября
Оператор call-центра;60 000-140 000 KZT;ТОО Смартер Казахстан;Шымкент;26 ноября
Монтажник связи;;ТОО Коркем Телеком;Шымкент;26 ноября
Менеджер по сопровождению клиентов;150 000-300 000 KZT;ТОО Первый БИТ;Алматы, Алатау;26 ноября
Продавец-консультант;;ТОО Fora;Караганда;11 ноября
Администратор баз 1С;;ТОО МЕЧТА, ТМ (Мечта Маркет, ТОО);Нур-Султан;16 ноября
Оператор колл-центра (Фармацевт);120 000-130 000 KZT;ТОО 7Лайн;Алматы;23 ноября
Специалист по продажам (удаленная работа);; Beeline, ТМ;Павлодар;18 ноября
Менеджер по продажам;от 70 000 KZT;ТОО 2GIS Astana;Нур-Султан;6 ноября
Техник участка магистральных линий;;АО Алма Телекоммуникейшнс Казахстан ( ТМ АЛМА-ТВ);Караганда;5 ноября
Заведующий складом;; Казтелепорт, АО;Алматы;17 ноября
Специалист по продажам (удаленная работа);; Beeline, ТМ;Актобе;18 ноября
Программист-стажер 1С;от 50 000 KZT;ТОО Ристарт Технологии;Алматы;24 ноября
Менеджер по продажам;420 000-1 600 000 KZT;ТОО АльДиС;Алматы;25 ноября
Специалист по продажам (удаленная работа);; Beeline, ТМ;Семей;18 ноября
Менеджер по работе с клиентами;100 000-350 000 KZT;ИП Сервис com;Усть-Каменогорск;9 ноября
Сервисный инженер (медицинское оборудование);от 150 000 KZT;ТОО ЛОКАЛ ФАРМ;Нур-Султан;23 ноября
Специалист по продажам (удаленная работа);; Beeline, ТМ;Атырау;18 ноября
Специалист технической поддержки;60 000-150 000 KZT;ТОО Сәтті Телеком;Кызылорда;8 ноября
Менеджер-консультант 1С;;ТОО Profi Soft;Костанай;29 октября
Региональный менеджер по продажам;;ТОО Esepshi.kz;Нур-Султан;2 ноября
Контент-менеджер;;ТОО МЕГА-МАКС;Шымкент;19 ноября
Системный администратор - Ведущий инженер IT;от 300 000 KZT;ТОО SMARTNET;Алматы;24 ноября
Специалист по технической поддержке;;ТОО Platonus;Алматы, Жибек Жолы;29 октября
Специалист по продажам (удаленная работа);; Beeline, ТМ;Кызылорда;18 ноября
Специалист по продажам (удаленно);; Beeline, ТМ;Уральск;18 ноября
Электромонтер связи (г. Нур-Султан);;АО Казахтелеком;Нур-Султан;20 ноября
Менеджер по проектам;145 000-250 000 KZT;ТОО XFinity Solutions;Алматы, Абая;25 ноября
Специалист по продажам (удаленная работа);; Beeline, ТМ;Тараз;18 ноября
Специалист по продажам (удаленная работа);; Beeline, ТМ;Усть-Каменогорск;18 ноября
Продавец-консультант;;ТОО Fora;Усть-Каменогорск;23 ноября
2D Художник по окружению;160 000-200 000 KZT;ТОО TECHNICAL CAPABILITIES CIS;Алматы;8 ноября
Монтажник СКС;150 000-190 000 KZT;ТОО ST Integrator Company;Алматы;16 ноября
Менеджер по рекламе;60 000-200 000 KZT;ТОО AIO Corporation;Алматы;24 ноября
Монтажник слаботочных систем;;ИП Интегрированные Системы Безопасности;Актау;24 ноября
Разработчик баз данных;от 250 000 KZT;ТОО Smart Remont;Нур-Султан;24 ноября
Менеджер по сопровождению клиентов (Консалтинговые проекты);130 000-180 000 KZT;ТОО Mladex (Mladex Pharm Consulting Group);Алматы;6 ноября
Ассистент руководителя;120 000-150 000 KZT;ТОО Лайк Центр Астана;Нур-Султан;11 ноября
"Техник по работе с абонентами РКЦ ""Оңтүстік"" г. Алматы";;АО Казахтелеком;Алматы;16 ноября
Специалист по продажам В2С;;АО Казахтелеком;Алматы;8 ноября
HR Специалист по подбору Персонала;200 000-350 000 KZT;ТОО Этажи, ТМ (ТОО Etagi Almaty);Нур-Султан;23 ноября
CS Representative (TR) / Специалист технической поддержки на турецком языке;; Playrix;Алматы;11 ноября
UX designer;; Kaspi Bank, АО;Алматы;4 ноября
Помощник руководителя (по маркетингу);150 000-150 000 KZT;ТОО e-shop;Нур-Султан;16 ноября
Менеджер по продажам в Kcell Store;; Кселл, АО;Нур-Султан;26 ноября
Монтажник систем ОП сигнализации и видеонаблюдения;120 000-150 000 KZT;ТОО РусорМеталл;Караганда;30 октября
Специалист по продажам (удаленная работа);; Beeline, ТМ;Актау;18 ноября
Главный специалист Отдела безопасности IT сети;200 000-200 000 KZT;АО АТФБанк;Алматы;11 ноября
Аналитик по продажам;160 000-160 001 KZT;ТОО Алтын Алма;Нур-Султан;17 ноября
Электромонтер связи;от 90 000 KZT;ТОО Центр профессиональных услуг ЭКСИМОП;Алматы;12 ноября
Электромонтер связи (г. Сатпаев);;АО Казахтелеком;Сатпаев;20 ноября
Менеджер по региональному развитию;от 200 000 KZT;ТОО МДРегион.КЗ;Павлодар;10 ноября
Монтажник слаботочных систем;130 000-150 000 KZT;ТОО Профессиональная военизированная аварийно-спасательная служба Нұр Құтқарушы;Нур-Султан;4 ноября
Remote Customer Support Officer (with English and Arabic languages);35 000-64 000 руб.; IQ Option;Алматы;12 ноября
Менеджер IT Сервиса;;АО Aitas KZ;Алматы;17 ноября
Consultant, Data Science, ITA;;ТОО KPMG;Алматы;6 ноября
Оператор проверочного стола;;АО TECHNODOM Operator (Технодом Оператор);Усть-Каменогорск;6 ноября
Consultant, Data Science, ITA;;ТОО KPMG;Нур-Султан;6 ноября
Торговый агент, г. Павлодар (Восточной РДТ);;АО Казахтелеком;Павлодар;29 октября
Менеджер по продажам строительных материалов;90 000-300 000 KZT;ИП Теплодом (StroyMax, TM);Алматы, Райымбек батыра;19 ноября
Специалист Группы Soft-Collection Контакт-центра Дивизиона по розничному бизнесу в г. Шымкент;;АО Казахтелеком;Шымкент;4 ноября
Менеджер по работе с клиентами;80 000-200 000 KZT;ТОО Net Light Lab;Алматы;24 ноября
Менеджер в технико-хозяйственный отдел;до 200 000 KZT;ИП Детская секция робототехники Лига роботов;Нур-Султан;26 ноября
Менеджер по продажам;;ТОО ARCADA;Караганда;23 ноября
Преподаватель по программированию;350-750 USD; IT школа Hello world;Нур-Султан;12 ноября
Менеджер по продажам;;ТОО IT Support Group;Алматы, Драмтеатр имени Ауэзова;26 ноября
Специалист по обслуживанию клиентов;98 000-150 000 KZT;ТОО Goodfix;Алматы;17 ноября
Специалист по IT;;ТОО Logitex;Атырау;25 ноября
Менеджер по работе с вендорами (в сфере IT);;ТОО Алси;Алматы;17 ноября
Менеджер проектов с опытом внедрения SAP;;ТОО МЕЧТА, ТМ (Мечта Маркет, ТОО);Нур-Султан;4 ноября
Инженер поддержки ИТ сервисов;; Kaspi Bank, АО;Усть-Каменогорск;9 ноября
Оператор call-центра;60 000-140 000 KZT;ТОО Смартер Казахстан;Шымкент;26 ноября
Электромеханик связи ЦТПК Help Desk;;АО Казахтелеком;Павлодар;2 ноября
Специалист колл-центра;100 000-120 000 KZT;ТОО Almaty Enterprising Company Ltd (Алматы Интерпрайзинг компани ЛТД);Алматы;29 октября
Менеджер по продажам;70 000-300 000 KZT; СК Сентрас Иншуранс, АО;Алматы;12 ноября
Монтажник;80 000-150 000 KZT;ТОО Сәтті Телеком;Шымкент;12 ноября
Проектный менеджер;120 000-150 000 KZT;ТОО Синтегра;Караганда;11 ноября
Электромонтер линейных сооружений электросвязи 4 разряда, г. Алматы;;АО Казахтелеком;Алматы;6 ноября
Специалист по сервису;; Beeline, ТМ;Костанай;10 ноября
Менеджер по работе с авторами;80 000-100 000 KZT; РОО КАЗАХСТАНСКОЕ АВТОРСКОЕ ОБЩЕСТВО;Алматы, Алатау;26 ноября
Электромонтер связи, г. Щучинск;;АО Казахтелеком;Щучинск;10 ноября
Ведущий специалист по банковским операциям;;ИП Кенжебаева К.П.;Алматы;20 ноября
Электромонтер электропитающих устройств (г. Караганда);;АО Казахтелеком;Караганда;10 ноября
Комьюнити-менеджер;до 160 000 KZT;АО Сәтті Жұлдыз;Алматы, Райымбек батыра;12 ноября
Электромонтер связи (г. Караганда);;АО Казахтелеком;Караганда;12 ноября
Менеджер It проектов;от 200 000 KZT;ТОО Vista Systems;Алматы;24 ноября
Электромонтер подземных сооружений и коммуникаций связи;;АО Казахтелеком;Алматы;12 ноября
Программист 1С;200 000-280 000 KZT;ТОО КоКо Корейская косметика;Алматы;1 ноября
Программист-разработчик;;ТОО Бақ-ЛИЧ;Костанай;19 ноября
Преподаватель по программированию в онлайн-школу (удаленно);;ИП Хамитов И.Ж;Алматы;13 ноября
Менеджер по продажам розничной торговли;150 000-500 000 KZT;ТОО Первый БИТ;Алматы, Алатау;25 ноября
Монтажник СКС;от 150 000 KZT;ТОО Аскет (ТМ СОЮЗ медиа групп);Петропавловск;13 ноября
Технический координатор;;ТОО Astana Orleu Conference Inc;Нур-Султан;24 ноября
Оператор call-центра;60 000-140 000 KZT;ТОО Смартер Казахстан;Шымкент;26 ноября
Электромонтер 5 разряд, Линейно-абонентский цех, г. Алматы;;АО Казахтелеком;Алматы;8 ноября
"Специалист по продажам Центра региональных продаж РДТ ""Алматытелеком""";;АО Казахтелеком;Алматы;7 ноября
Директор по развитию бизнеса;400 000-500 000 KZT;ТОО Торговый дом Кирпичного завода №1 имени 15-ти лет;Нур-Султан;24 ноября
Электромонтер линейных сооружений электросвязи (Талгарский район);;АО Казахтелеком;Талгар;20 ноября
Разработчик 1С BITRIX;200 000-400 000 KZT;ТОО Logitex;Нур-Султан;19 ноября
Разработчик 1С-Битрикс;400 000-400 000 KZT;ТОО MCC Trade Company;Алматы;24 ноября
Инженер электросвязи;;АО Казахтелеком;Сергеевка (Северо-Казахстанская область);23 ноября
Специалист отдела поддержки 1С для МФО;120 000-150 000 KZT;ТОО ВЦ Интеграция;Алматы, Жибек Жолы;26 ноября
Менеджер по консультации с клиентами;350 000-1 000 000 KZT;ТОО Этажи, ТМ (ТОО Etagi Almaty);Нур-Султан;2 ноября
SAP consultants (FI / CO / MM / SD);; BearingPoint;Шымкент;12 ноября
Технический директор;200 000-250 000 KZT;ТОО Штрих-Маркет Казахстан;Нур-Султан;13 ноября
Электромонтер по ремонту и обслуживанию электроустановок;от 80 000 KZT;АО Казахтелеком;Уральск;19 ноября
Электромонтер линейных сооружений электросвязи, г. Уральск;от 62 000 KZT;АО Казахтелеком;Уральск;4 ноября
Менеджер по продажам мебели;90 000-300 000 KZT;ИП Теплодом (StroyMax, TM);Алматы, Райымбек батыра;16 ноября
SEO специалист;от 800 USD;ИП Alekenov;Нур-Султан;2 ноября
Торговый агент, г. Усть-Каменогорск (Восточной РДТ);;АО Казахтелеком;Усть-Каменогорск;29 октября
Full stack разработчик;до 400 000 KZT;ТОО МК-Золото ломбард;Алматы;2 ноября
2D Художник по окружению;160 000-200 000 KZT;ТОО TECHNICAL CAPABILITIES CIS;Павлодар;8 ноября
Программист-разработчик (1С: Предприятие 8);;ТОО ЭГЛЕТ;Алматы;23 ноября
Менеджер по продажам;100 000-250 000 KZT;ТОО Online Solutions;Нур-Султан;3 ноября
Менеджер ИТ-сервиса;;АО Aitas KZ;Нур-Султан;13 ноября
Сервисный инженер по ремонту кассовой техники;80 000-180 000 KZT;ТОО Ай Ти Концепт;Нур-Султан;25 ноября
Преподаватель по программированию в онлайн-школу (удаленно);;ИП Хамитов И.Ж;Нур-Султан;13 ноября
Менеджер по продажам электрооборудования;;ТОО Акку-Энерго;Нур-Султан;24 ноября
Менеджер по продажам;до 36 400 руб.; Skyeng;Алматы;16 ноября
Product Manager;;ТОО Manpower;Алматы;10 ноября
Менеджер по продажам;до 36 400 руб.; Skyeng;Уральск;16 ноября
Сервисный инженер;от 150 000 KZT;ООО Константа;Караганда;23 ноября
Инженер связи (СКС);90 000-110 000 KZT;ТОО SMARTNET;Алматы;25 ноября
Технический специалист/ Оператор проверочного стола;до 101 250 KZT;ТОО Fora;Караганда;23 ноября
